URL,Response Code,News Error,Detected,Category
http://www.tescoentertainment.com/store/mp3/tony-harris-choices/2%3A46320735/,404,,12/15/11,Not found
http://www.tescoentertainment.com/tesco/10042546.product,404,,1/7/12,Not found
http://www.tescoentertainment.com/store/artist/leonard-cohen/p%3A1623/,410,,3/6/12,Not found
http://www.tescoentertainment.com/store/artist/jamie-cullum/p%3A513734/,410,,2/3/12,Not found
http://www.tescoentertainment.com/store/artist/kids-in-glass-houses/p%3A833358/,410,,3/6/12,Not found
http://www.tescoentertainment.com/store/artist/joe-bonamassa/p%3A43159/,410,,2/3/12,Not found
http://www.tescoentertainment.com/tesco/10000328.product,404,,2/8/12,Not found
http://www.tescoentertainment.com/store/artist/dj-tisto/p%3A260403/,410,,2/7/12,Not found
http://www.tescoentertainment.com/store/artist/hall-%26-oates/p%3A3769/,404,,2/14/12,Not found
http://www.tescoentertainment.com/store/artist/dido/p%3A54925/,410,,3/7/12,Not found
http://www.tescoentertainment.com/tesco/9993071.product,404,,12/14/11,Not found
http://www.tescoentertainment.com/tesco/10043859.product,404,,1/27/12,Not found
http://www.tescoentertainment.com/store/browse/dvd/tvpagegiftideas/,404,,3/5/12,Not found
http://www.tescoentertainment.com/tesco/9955771.product,404,,1/14/12,Not found
http://www.tescoentertainment.com/store/games/microsoft-xbox-360-super-street-fighter-iv/8:690602/,404,,1/10/12,Not found
http://www.tescoentertainment.com/store/artist/jah-wobble/p%3A71943/,410,,3/13/12,Not found
http://www.tescoentertainment.com/store/artist/mariah-carey/p%3A47247/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/games/-just-dance-3/8%3A779350/,404,,12/16/11,Not found
http://www.tescoentertainment.com/store/artist/status-quo/p%3A16786/,410,,2/3/12,Not found
http://www.tescoentertainment.com/store/artist/katherine-jenkins/p%3A653796/,404,,2/8/12,Not found
http://www.tescoentertainment.com/store/artist/paul-simon/p%3A4673/,410,,3/3/12,Not found
